informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Senior Digital Marketing Executive,ሲኒየር ዲጂታል ግብይት ሥራ አስፈፃሚ,P,Service,Advertising
Senior Digital Marketing Officer,ሲኒየር ዲጂታል ማርኬቲንግ ኦፊሰር,P,Service,Advertising
Senior Digital Systems Dev’t & Integration Officer,ሲኒየር ዲጂታል ሲስተምስ ዴቪት እና ውህደት ኦፊሰር,P,ICT and digital work,Software Design Development and Implementation Works
Senior Digital Wallet & FinTech Management Officer,ሲኒየር ዲጂታል ቦርሳ እና ፊንቴክ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Disbursement Accountant,ሲኒየር ወጭ አካውንታንት,P,Service,Finance and Administration Services
Senior Dispute and Reconciliation Officer,ከፍተኛ የክርክር እና የእርቅ ኦፊሰር,P,Service,Finance and Administration Services
Senior District Credit Monitoring Officer,ሲኒየር ዲስትሪክት የብድር ክትትል ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior District Credit Officer,ሲኒየር ዲስትሪክት ክሬዲት ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior District HR Business Partnering Officer,ሲኒየር ዲስትሪክት የሰው ኃይል የንግድ አጋርነት ኦፊሰር,P,Service,Employment agencies and recruitment agencies
Senior District Marketing Officer,ከፍተኛ የዲስትሪክት ማርኬቲንግ ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior District Talent Acquisition Officer,ሲኒየር ዲስትሪክት ተሰጥኦ ማግኛ መኮንን,P,Service,Employment agencies and recruitment agencies
Senior Documentation and Export Booking Officer,ከፍተኛ ሰነዶች እና ኤክስፖርት ማስያዣ ኦፊሰር,P,"Logistics, transportation and communication",Freight Transportation
Senior Documentation and Transit Officer,ከፍተኛ ሰነዶች እና ትራንዚት ኦፊሰር,P,"Logistics, transportation and communication",Freight Transportation
Senior dragist,ሲኒየር ድራጊስት,P,Health,Health
Senior DRM Technical Specialist,ከፍተኛ የ DRM ቴክኒካል ስፔሻሊስት,U,ICT and digital work,Software Design Development and Implementation Works
Senior Earthmoving Machinery Electrician,ሲኒየር Earthmoving ማሽነሪ ኤሌክትሪክ,P,Construction,Electro-Mechanical Contractor
Senior E-Banking Technical Support Officer,ከፍተኛ ኢ-ባንኪንግ የቴክኒክ ድጋፍ ኦፊሰር,P,Service,Finance and Administration Services
Senior Economic Cooperation and Private Sector Development Advisor,ከፍተኛ የኢኮኖሚ ትብብር እና የግሉ ዘርፍ ልማት አማካሪ,P,Service,Business Promotion Service
Senior Editor,ሲኒየር አርታዒ,P,Tourism and art,Motion Picture Works
"Senior Education Advisor, GS-13","የከፍተኛ ትምህርት አማካሪ, GS-13",P,Education,other
Senior Education Expert,የከፍተኛ ትምህርት ባለሙያ,P,Education,other
Senior Education Technical Advisor,ሲኒየር ትምህርት የቴክኒክ አማካሪ,P,Education,other
Senior EHS officer,ከፍተኛ የኢኤችኤስ መኮንን,P,Service,Occupational Safety and Health Care Consulting Service
Senior Electro - Mechanical Engineer,ሲኒየር ኤሌክትሮ - ሜካኒካል መሐንዲስ,P,Construction,Electro-Mechanical Contractor
Senior Electro-Mechanical Technician,ከፍተኛ ኤሌክትሮ-ሜካኒካል ቴክኒሻን,P,Construction,Electro-Mechanical Contractor
Senior Electronics Technician,ሲኒየር ኤሌክትሮኒክስ ቴክኒሽያን,P,Manufacturing,Electrical equipment and utilities Manufacturing
Senior Emergency Health Response Officer,ከፍተኛ የአደጋ ጊዜ ጤና ምላሽ ኦፊሰር,P,Health,Health
Senior Equipment Inspector,ሲኒየር መሣሪያዎች መርማሪ,P,Service,Inspection
Senior Equipment Maintenance Mechanic,ሲኒየር መሣሪያዎች የጥገና መካኒክ,P,Service,Equipment and machine installation and maintenance service
Senior ERP Support Specialist,ሲኒየር ERP ድጋፍ ስፔሻሊስት,P,ICT and digital work,Software Design Development and Implementation Works
Senior Ethics Officer,ከፍተኛ የሥነ ምግባር መኮንን,P,Service,Other services
Senior Events & Multimedia Manager,ከፍተኛ ክስተቶች እና መልቲሚዲያ አስተዳዳሪ,P,Tourism and art,Motion Picture Works
Senior Executive - Standardization,ሲኒየር አስፈፃሚ መደበኛነት,U,Service,Quality Management Consulting Service
Senior Expert Advisor – Healthcare Financing Specialist (HCF),ከፍተኛ ኤክስፐርት አማካሪ - የጤና እንክብካቤ ፋይናንስ ስፔሻሊስት,P,Health,Health
Senior Expert in Planning and Monitoring,በእቅድ እና ክትትል ውስጥ ከፍተኛ ኤክስፐርት,P,Service,Consulting service around social science
Senior Expert in Seed Sector Governance,በዘር ዘርፍ አስተዳደር ውስጥ ከፍተኛ ኤክስፐር,P,agriculture,Agriculture
"Senior Expert, Communication and Media","ከፍተኛ ኤክስፐርት, ኮሙኒኬሽን እና ሚዲያ",P,Tourism and art,Motion Picture Works
"Senior Expert, Planning, Project Management & Resource Mobilization",ከፍተኛ ኤክስፐርት፣ እቅድ ማውጣት፣ የፕሮጀክት አስተዳደር እና የንብረት ማሰባሰብ,P,Service,Consulting service around social science
Senior Explorations Geologist,ሲኒየር ኤክስፕሎሬሽን ጂኦሎጂስት,P,Mining and Quarrying,Mining works
Senior Export and Documentation Officer,ከፍተኛ ኤክስፖርት እና ሰነድ ኦፊሰር,P,"Logistics, transportation and communication",Freight Transportation
Senior Export Lead,ከፍተኛ የኤክስፖርት አመራር,P,Business,Wholesale business in specialized stores
Senior Export Machine Operator,ሲኒየር ኤክስፖርት ማሽን ኦፕሬተር,P,Manufacturing,Manufacturing of cooking oil
Senior Export officer,ከፍተኛ ኤክስፖርት ኦፊሰ,P,Business,Wholesale business in specialized stores
Senior Export Operation Officer,ከፍተኛ ኤክስፖርት ኦፕሬሽን ኦፊሰር,P,"Logistics, transportation and communication",Freight Transportation
Senior Export Sales & Marketing Officer,ከፍተኛ የኤክስፖርት ሽያጭ እና ግብይት ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior Exporter of Coffee and/or Oilseeds or Grains,የቡና እና/ወይም የቅባት እህሎች ወይም ጥራጥሬዎች ከፍተኛ ላኪ,P,Business,Wholesale of agricultural products for raw materials
Senior External Training Officer,ከፍተኛ የውጭ ስልጠና ኦፊሰር,P,Service,Short-term language training and education
Senior F and B Cost Controller,ከፍተኛ የኤፍ እና ቢ ወጪ ተቆጣጣሪ,U,Tourism and art,"Resturant,Coffee shop"
Senior Farm Surveyor,ሲኒየር እርሻ ሰርቬየር,P,agriculture,Agriculture
Senior Fashion Designer,ከፍተኛ ፋሽን ዲዛይነር,P,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing
Senior Field Epidemiology Resident TA,ሲኒየር መስክ ኤፒዲሚዮሎጂ ነዋሪ TA,P,Health,Health
Senior Field Finance & Admin Officer,ከፍተኛ የመስክ ፋይናንስ እና አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Field Service Engineer,ከፍተኛ የመስክ አገልግሎት መሐንዲስ,P,Service,Equipment and machine installation and maintenance service
Senior Finance & Admin Assistant,ሲኒየር ፋይናንስ እና አስተዳዳሪ ረዳት,P,Service,Finance and Administration Services
Senior Finance & Investment Appraisal officer,ከፍተኛ የፋይናንስ እና የኢንቨስትመንት ግምገማ መኮንን,P,Service,Finance and Administration Services
Senior Finance / Finance Manager,ሲኒየር ፋይናንስ / ፋይናንስ አስተዳዳሪ,P,Service,Finance and Administration Services
Senior Finance and admin Officer,ከፍተኛ የፋይናንስ እና የአስተዳደር መኮንን,P,Service,Finance and Administration Services
Senior Finance and Compliance Officer,ከፍተኛ የፋይናንስ እና ተገዢነት ኦፊሰር,P,Service,Finance and Administration Services
Senior Finance Archive Officer,ከፍተኛ የፋይናንስ መዝገብ ኦፊሰር,P,Service,Finance and Administration Services
Senior Finance Assistant,ሲኒየር ፋይናንስ ረዳት,P,Service,Finance and Administration Services
Senior Finance Auditor,ሲኒየር ፋይናንስ ኦዲተር,P,Service,Accounting and auditing Jobs
Senior Finance Coordinator,ከፍተኛ የፋይናንስ አስተባባሪ,P,Service,Finance and Administration Services
Senior Finance Expert,ከፍተኛ የፋይናንስ ባለሙያ,P,Service,Finance and Administration Services
Senior Finance Officer-Risk and Compliance,ከፍተኛ የፋይናንስ ኦፊሰር-አደጋ እና ተገዢነት,P,Service,Finance and Administration Services
Senior Finance Reconciliation Officer,ከፍተኛ የፋይናንስ ማስታረቅ ኦፊሰር,P,Service,Finance and Administration Services
Senior Financial & Market Risk Management Officer,ከፍተኛ የገንዘብ እና የገበያ ስጋት አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Financial and Compliance Auditor,ሲኒየር የፋይናንስ እና ተገዢነት ኦዲተር,P,Service,Accounting and auditing Jobs
Senior Financial and Tax Accountant,ከፍተኛ የፋይናንሺያል እና የታክስ አካውንታንት,P,Service,Accounting and auditing Jobs
Senior Financial Management Technical Specialist (Technical Advisor III),ከፍተኛ የፋይናንሺያል አስተዳደር ቴክኒካል ስፔሻሊስት (የቴክኒክ አማካሪ III),P,Service,Finance and Administration Services
Senior Financial Modeling Expert,ከፍተኛ የፋይናንሺያል ሞዴሊንግ ባለሙያ,P,Service,Finance and Administration Services
Senior Financial Reporting Officer,ከፍተኛ የፋይናንስ ሪፖርት ኦፊሰር,P,Service,Finance and Administration Services
Senior Financial Specialists,ከፍተኛ የፋይናንስ ስፔሻሊስቶች,P,Service,Finance and Administration Services
Senior Firefighting Technician,ከፍተኛ የእሳት አደጋ መከላከያ ቴክኒሻን,P,Service,Security Service
Senior Fleet Dispacher,ሲኒየር ፍሊት አስተላላፊ,P,"Logistics, transportation and communication",Other supportive transportation services
Senior Fleet Officer,ሲኒየር ፍሊት መኮንን,P,"Logistics, transportation and communication",Other supportive transportation services
Senior Fleet Supervisor,ሲኒየር ፍሊት ተቆጣጣሪ,P,"Logistics, transportation and communication",Other supportive transportation services
Senior Food Safety and Hygiene Officer,ከፍተኛ የምግብ ደህንነት እና ንፅህና ኦፊሰር,P,Service,Other health activities
Senior Food Security Livelihoods and Resilience Advisor,ከፍተኛ የምግብ ዋስትና መተዳደሪያ እና የመቋቋም አማካሪ,P,Service,Consulting around natural science
Senior Food Technologist,ከፍተኛ የምግብ ቴክኖሎጂ ባለሙያ,P,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Senior Foreign Accounts Reconciliation Officer,ከፍተኛ የውጭ መለያዎች ማስታረቅ ኦፊሰር,P,Service,Finance and Administration Services
Senior Foreign Banking Officer I,ከፍተኛ የውጭ ባንክ ኦፊሰር I,P,Service,Finance and Administration Services
Senior Foreign Banking Officer II,ከፍተኛ የውጭ ባንክ ኦፊሰር II,P,Service,Finance and Administration Services
Senior Foreign Purchase Officer,ከፍተኛ የውጭ ግዢ ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior Foreign Purchaser,ከፍተኛ የውጭ አገር ገዥ,P,Business,Wholesale business in specialized stores
Senior Fraud Management Officer,ከፍተኛ የማጭበርበር አስተዳደር ኦፊሰር,P,Service,Security Service
Senior Functional Consultant,ሲኒየር ተግባራዊ አማካሪ,U,Service,Consulting service around social science
Senior Galileo Agent,ሲኒየር ጋሊልዮ ወኪል,U,ICT and digital work,Software Design Development and Implementation Works
Senior Garage Clerk and Archive,ሲኒየር ጋራጅ ጸሐፊ እና መዝገብ ቤት,P,Service,Motor vehicle repair work
Senior garment/textile expert,ከፍተኛ የልብስ / የጨርቃጨርቅ ባለሙያ,P,Industry Development,Textile
Senior GBV Officer,ከፍተኛ የ GBV ኦፊሰር,P,Service,Social work services
Senior Gender Advisor,ከፍተኛ የሥርዓተ-ፆታ አማካሪ,P,Service,Social work services
Senior Gender and Human Right Technical Advisor,ከፍተኛ የስርዓተ-ፆታ እና የሰብአዊ መብት ቴክኒካል አማካሪ,P,Service,Social work services
Senior Gender and Inclusion Advisor,ከፍተኛ የስርዓተ-ፆታ እና ማካተት አማካሪ,P,Service,Social work services
